scorer,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking
bodyparts,Crest,Crest,Crest,Hip,Hip,Hip,Knee,Knee,Knee,Ankle,Ankle,Ankle,Metatarsal,Metatarsal,Metatarsal,ToeTip,ToeTip,ToeTip
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
34,39.657593,20.6604,1,30.532837,14.205933,1,32.484375,2.36568307876587,1,15.50293,1.5716553,1,9.841919,-4.6539307,1,9.689331,-9.0789795,1
35,40.06958,20.629883,1,30.944824,14.11438,1,33.174129486084,2.32327175140381,1,16.174316,2.243042,1,10.437012,-4.0740967,1,9.674072,-8.682251,1
36,40.481567,20.614624,1,31.61621,14.099121,1,34.3699836730957,2.41936302185059,1,17.39502,3.3416748,1,11.993408,-3.0212402,1,10.269165,-7.873535,1
37,40.924072,20.736694,1,32.165527,13.839722,1,36.0219345092773,2.47626686096191,1,19.180298,4.79126,1,14.160156,-1.6479492,1,11.947632,-6.454468,1
38,41.3208,20.828247,1,32.76062,13.793945,1,37.7322082519531,2.87225437164307,1,21.072388,6.2561035,1,16.693115,-0.061035156,1,14.587402,-5.1116943,1
39,41.71753,20.996094,1,33.233643,13.900757,1,39.3742218017578,3.59089374542236,1,22.842407,7.5531006,1,19.180298,1.2359619,1,17.410278,-3.7841797,1
40,41.992188,21.194458,1,33.66089,14.129639,1,40.7438812255859,4.44298458099365,1,24.261475,8.605957,1,21.66748,2.2277832,1,20.263672,-2.7923584,1
41,42.266846,21.499634,1,34.14917,14.419556,1,41.7886276245117,5.16544151306152,1,25.238037,9.048462,1,24.18518,2.7770996,1,23.498535,-2.5024414,1
42,42.373657,21.774292,1,34.454346,14.73999,1,42.5183906555176,5.85341739654541,1,25.83313,9.109497,1,26.473999,3.0822754,1,26.96228,-2.1972656,1
43,42.46521,22.125244,1,34.683228,14.907837,1,43.1258354187012,6.38009738922119,1,26.290894,8.743286,1,28.366089,3.250122,1,30.059814,-2.6245117,1
44,42.556763,22.399902,1,34.89685,14.99939,1,43.6945266723633,6.83845520019531,1,26.748657,8.19397,1,29.73938,3.2196045,1,32.25708,-2.1514893,1
45,42.556763,22.644043,1,35.186768,14.99939,1,44.2017707824707,7.07917881011963,1,27.20642,7.4768066,1,30.86853,3.0059814,1,34.103394,-1.9226074,1
46,42.526245,22.827148,1,35.26306,14.984131,1,44.6408767700195,7.49703216552734,1,27.664185,6.6070557,1,31.814575,2.670288,1,35.55298,-1.4343262,1
47,42.526245,23.010254,1,35.446167,14.984131,1,45.0180282592774,7.7467622756958,1,28.137207,5.7373047,1,32.77588,2.3498535,1,37.078857,-1.2817383,1
48,42.48047,23.132324,1,35.507202,14.9383545,1,45.3672370910645,8.09878444671631,1,28.671265,4.8980713,1,33.5083,2.2735596,1,38.146973,-0.5493164,1
49,42.46521,23.254395,1,35.507202,14.953613,1,45.6842384338379,8.59531879425049,1,29.251099,4.2419434,1,34.25598,2.1820068,1,39.30664,-0.19836426,1
50,42.541504,23.361206,1,35.690308,14.923096,1,46.1532783508301,9.04719257354736,1,29.98352,3.7994385,1,34.75952,2.166748,1,39.993286,0.18310547,1
51,42.663574,23.4375,1,35.858154,14.862061,1,46.5992202758789,9.51140785217285,1,30.74646,3.3721924,1,35.41565,2.0446777,1,40.71045,0.35095215,1
52,42.770386,23.55957,1,36.026,14.9383545,1,46.9722862243652,10.0211572647095,1,31.49414,2.9907227,1,36.209106,1.8157959,1,41.381836,0.24414062,1
53,42.816162,23.712158,1,36.16333,14.953613,1,47.3807067871094,10.6909332275391,1,32.51648,2.4414062,1,37.078857,1.3275146,1,42.434692,-0.030517578,1
54,42.73987,23.925781,1,36.30066,14.953613,1,47.6662864685059,11.1036052703857,1,33.477783,1.739502,1,38.16223,0.77819824,1,43.533325,-0.22888184,1
55,42.648315,24.06311,1,36.392212,14.984131,1,47.9044456481934,11.5976152420044,1,34.5459,1.083374,1,39.276123,0.15258789,1,44.525146,-0.61035156,1
56,42.48047,24.215698,1,36.40747,14.99939,1,48.0823097229004,12.2248258590698,1,35.827637,0.44250488,1,40.359497,-0.44250488,1,45.669556,-1.1901855,1
57,42.312622,24.291992,1,36.392212,14.984131,1,48.1649589538574,12.6598262786865,1,36.956787,-0.12207031,1,41.519165,-1.1444092,1,46.75293,-1.7547607,1
58,42.099,24.459839,1,36.331177,14.892578,1,48.17041015625,12.9348745346069,1,38.04016,-0.7171631,1,42.73987,-1.7242432,1,48.034668,-2.3651123,1
59,41.870117,24.505615,1,36.346436,14.801025,1,48.238883972168,13.1979856491089,1,39.18457,-1.1901855,1,44.052124,-2.380371,1,49.224854,-2.89917,1
60,41.641235,24.459839,1,36.346436,14.556885,1,48.2709579467773,13.2131128311157,1,40.267944,-1.7852783,1,45.34912,-2.9754639,1,50.53711,-3.5858154,1
61,41.35132,24.368286,1,36.40747,14.266968,1,48.3617630004883,13.2205505371094,1,41.366577,-2.2735596,1,46.6156,-3.6621094,1,51.757812,-4.2877197,1
62,41.305542,24.124146,1,36.514282,13.931274,1,48.4806823730469,13.0339431762695,1,42.312622,-2.8076172,1,47.88208,-4.333496,1,52.978516,-4.974365,1
63,41.229248,23.849487,1,36.8042,13.504028,1,48.7809410095215,12.7572345733643,1,43.319702,-3.3416748,1,49.01123,-5.0354004,1,54.19922,-5.706787,1
64,41.122437,23.529053,1,36.987305,13.046265,1,48.9657287597656,12.3269863128662,1,44.067383,-3.9520264,1,49.972534,-5.9814453,1,55.19104,-6.80542,1
