scorer,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking
bodyparts,Crest,Crest,Crest,Hip,Hip,Hip,Knee,Knee,Knee,Ankle,Ankle,Ankle,Metatarsal,Metatarsal,Metatarsal,ToeTip,ToeTip,ToeTip
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,5.065918,11.123657,1,-3.3111572,5.142212,1,3.39225673675537,-3.579270362854,1,-9.429932,-5.722046,1,-5.996704,-10.559082,1,-0.076293945,-12.329102,1
1,4.8828125,11.09314,1,-3.5552979,5.1574707,1,2.98219776153564,-3.68906140327454,1,-9.887695,-5.5236816,1,-6.6223145,-10.360718,1,-0.77819824,-12.313843,1
2,4.6539307,11.062622,1,-3.8452148,5.1116943,1,2.56609439849854,-3.82671189308167,1,-10.345459,-5.340576,1,-7.1258545,-10.345459,1,-1.4038086,-12.313843,1
3,4.3945312,11.001587,1,-4.1046143,5.1116943,1,2.18158340454102,-3.91513991355896,1,-10.757446,-5.1727295,1,-7.7056885,-10.238647,1,-1.9836426,-12.329102,1
4,4.0893555,10.925293,1,-4.3640137,5.1116943,1,1.73173522949219,-4.04482460021973,1,-11.230469,-5.0354004,1,-8.2092285,-10.101318,1,-2.5939941,-12.283325,1
5,3.90625,10.910034,1,-4.623413,5.050659,1,1.3718113899231,-4.1719913482666,1,-11.611938,-4.8217773,1,-8.7890625,-10.009766,1,-3.2043457,-12.313843,1
6,3.540039,10.818481,1,-4.852295,5.0811768,1,0.908089160919189,-4.28994750976563,1,-12.084961,-4.714966,1,-9.277344,-9.994507,1,-3.829956,-12.359619,1
7,3.3416748,10.803223,1,-5.1727295,5.065918,1,0.593073844909668,-4.30187320709229,1,-12.4053955,-4.501343,1,-9.780884,-9.872437,1,-4.425049,-12.329102,1
8,3.0975342,10.787964,1,-5.3710938,5.050659,1,0.16680383682251,-4.45363903045654,1,-12.832642,-4.333496,1,-10.314941,-9.811401,1,-5.004883,-12.329102,1
9,2.8076172,10.757446,1,-5.6915283,5.0354004,1,-0.203089237213135,-4.49754524230957,1,-13.198853,-4.1656494,1,-10.803223,-9.689331,1,-5.5999756,-12.34436,1
10,2.4871826,10.757446,1,-5.996704,5.0811768,1,-0.542630195617676,-4.47147083282471,1,-13.534546,-4.0130615,1,-11.3220215,-9.658813,1,-6.2408447,-12.313843,1
11,2.2583008,10.696411,1,-6.30188,5.050659,1,-1.01216554641724,-4.59397268295288,1,-13.99231,-3.8757324,1,-11.932373,-9.521484,1,-6.8969727,-12.359619,1
12,1.9989014,10.635376,1,-6.5612793,5.0201416,1,-1.46929168701172,-4.73032665252686,1,-14.434814,-3.7841797,1,-12.466431,-9.506226,1,-7.507324,-12.359619,1
13,1.6479492,10.559082,1,-6.8511963,4.974365,1,-1.77457189559937,-4.78411293029785,1,-14.724731,-3.6468506,1,-12.9852295,-9.490967,1,-8.132935,-12.374878,1
