scorer,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking
bodyparts,Crest,Crest,Crest,Hip,Hip,Hip,Knee,Knee,Knee,Ankle,Ankle,Ankle,Metatarsal,Metatarsal,Metatarsal,ToeTip,ToeTip,ToeTip
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
31,-17.349243,13.442993,1,-25.6958,11.260986,1,-17.689640045166,3.71768498420715,1,-30.059814,-2.8381348,1,-28.09143,-9.140015,1,-25.512695,-11.474609,1
32,-17.364502,13.336182,1,-25.772095,11.184692,1,-17.783130645752,3.62318181991577,1,-30.334473,-2.5787354,1,-28.59497,-9.033203,1,-26.138306,-11.459351,1
33,-17.364502,13.336182,1,-25.772095,11.291504,1,-17.9375991821289,3.57006025314331,1,-30.62439,-2.3498535,1,-29.129028,-8.7890625,1,-26.748657,-11.428833,1
34,-17.333984,13.397217,1,-25.787354,11.398315,1,-17.9697856903076,3.65973448753357,1,-30.761719,-2.029419,1,-29.49524,-8.590698,1,-27.236938,-11.245728,1
35,-17.27295,13.473511,1,-25.802612,11.611938,1,-18.0496635437012,3.80861949920654,1,-30.929565,-1.6784668,1,-29.86145,-8.270264,1,-27.786255,-11.09314,1
36,-17.211914,13.641357,1,-25.680542,11.749268,1,-18.0235729217529,3.85174751281738,1,-31.036377,-1.3122559,1,-30.212402,-7.9345703,1,-28.244019,-11.001587,1
37,-17.196655,13.763428,1,-25.650024,11.993408,1,-17.9729537963867,4.11542892456055,1,-31.066895,-0.8392334,1,-30.563354,-7.5531006,1,-28.961182,-10.848999,1
38,-17.13562,14.0686035,1,-25.6958,12.313843,1,-17.7429084777832,4.71440267562866,1,-30.914307,-0.030517578,1,-30.639648,-6.8969727,1,-29.434204,-10.437012,1
39,-16.983032,14.389038,1,-25.604248,12.573242,1,-17.5891265869141,5.03946399688721,1,-31.036377,1.1444092,1,-30.334473,-5.706787,1,-29.266357,-9.658813,1
40,-16.921997,14.678955,1,-25.665283,12.908936,1,-17.38551902771,5.66700887680054,1,-30.944824,2.1820068,1,-29.11377,-4.4403076,1,-27.96936,-8.758545,1
41,-16.906738,15.060425,1,-25.634766,13.214111,1,-17.148551940918,6.21523952484131,1,-30.715942,2.7618408,1,-27.648926,-3.189087,1,-25.894165,-7.293701,1
42,-16.87622,15.350342,1,-25.619507,13.427734,1,-16.9585113525391,6.64635133743286,1,-30.395508,2.7160645,1,-26.245117,-2.3651123,1,-23.68164,-5.996704,1
43,-16.860962,15.655518,1,-25.57373,13.565063,1,-16.6821937561035,7.08890771865845,1,-29.724121,1.9989014,1,-24.82605,-2.2125244,1,-21.697998,-5.279541,1
44,-16.860962,16.052246,1,-25.45166,13.641357,1,-16.3842391967773,7.41385078430176,1,-28.808594,0.9613037,1,-23.468018,-2.6550293,1,-19.989014,-5.1879883,1
45,-16.845703,16.326904,1,-25.375366,13.702393,1,-16.0366802215576,7.88956689834595,1,-27.496338,-0.15258789,1,-21.987915,-3.3111572,1,-18.26477,-5.432129,1
46,-16.830444,16.586304,1,-25.268555,13.702393,1,-15.7678928375244,8.15825843811035,1,-26.09253,-1.2969971,1,-20.27893,-3.9520264,1,-16.38794,-5.6152344,1
47,-16.799927,16.784668,1,-25.146484,13.717651,1,-15.483039855957,8.46238422393799,1,-24.612427,-2.1514893,1,-18.585205,-4.3945312,1,-14.526367,-5.6152344,1
48,-16.799927,16.921997,1,-25.039673,13.748169,1,-15.3508195877075,8.53989410400391,1,-23.422241,-2.89917,1,-17.166138,-4.5776367,1,-12.9852295,-5.3863525,1
49,-16.89148,16.998291,1,-25.024414,13.61084,1,-15.1980581283569,8.66687965393066,1,-22.369385,-3.3569336,1,-16.036987,-4.6539307,1,-11.810303,-5.2337646,1
50,-16.983032,17.074585,1,-25.024414,13.519287,1,-15.1078023910522,8.75894927978516,1,-21.68274,-3.6010742,1,-15.304565,-4.6691895,1,-10.971069,-5.142212,1
51,-17.105103,17.196655,1,-25.039673,13.519287,1,-15.057168006897,8.89872264862061,1,-21.270752,-3.6468506,1,-14.846802,-4.6844482,1,-10.543823,-5.0964355,1
52,-17.242432,17.318726,1,-25.161743,13.458252,1,-15.0530595779419,9.12067794799805,1,-20.996094,-3.5552979,1,-14.556885,-4.5928955,1,-10.238647,-4.989624,1
53,-17.562866,17.440796,1,-25.283813,13.412476,1,-15.0957870483398,9.26469039916992,1,-20.721436,-3.5552979,1,-14.328003,-4.5166016,1,-9.979248,-4.852295,1
54,-17.822266,17.623901,1,-25.45166,13.366699,1,-15.1665515899658,9.46586227416992,1,-20.309448,-3.5552979,1,-13.839722,-4.3029785,1,-9.521484,-4.5318604,1
55,-18.112183,17.730713,1,-25.680542,13.381958,1,-15.3579387664795,9.58144569396973,1,-19.66858,-3.7384033,1,-13.183594,-4.3182373,1,-8.850098,-4.333496,1
56,-18.463135,17.929077,1,-25.878906,13.427734,1,-15.516152381897,9.73810768127441,1,-18.844604,-3.8604736,1,-12.283325,-4.257202,1,-8.010864,-4.1656494,1
57,-18.78357,18.127441,1,-26.138306,13.48877,1,-15.7126636505127,9.98078346252441,1,-18.096924,-3.8146973,1,-11.459351,-4.257202,1,-7.1411133,-4.119873,1
58,-19.058228,18.295288,1,-26.367188,13.549805,1,-15.9015064239502,10.1631374359131,1,-17.425537,-3.753662,1,-10.696411,-4.1046143,1,-6.3476562,-3.9978027,1
59,-19.439697,18.417358,1,-26.611328,13.671875,1,-16.1557464599609,10.2541637420654,1,-16.952515,-3.7231445,1,-10.08606,-4.1046143,1,-5.783081,-4.0283203,1
60,-19.882202,18.585205,1,-26.931763,13.809204,1,-16.4792747497559,10.3820323944092,1,-16.693115,-3.616333,1,-9.70459,-4.135132,1,-5.41687,-4.135132,1
61,-20.202637,18.615723,1,-27.252197,13.824463,1,-16.7903423309326,10.4259910583496,1,-16.479492,-3.5705566,1,-9.460449,-4.3029785,1,-5.1727295,-4.180908,1
