scorer,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking
bodyparts,Crest,Crest,Crest,Hip,Hip,Hip,Knee,Knee,Knee,Ankle,Ankle,Ankle,Metatarsal,Metatarsal,Metatarsal,ToeTip,ToeTip,ToeTip
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,-54.397583,19.241333,1,-62.545776,11.184692,1,-53.5397872924805,3.25423121452332,1,-64.89563,-6.5460205,1,-60.455322,-9.796143,1,-54.79431,-11.703491,1
1,-53.771973,19.226074,1,-62.072754,11.383057,1,-53.4462394714356,3.04140043258667,1,-65.2771,-6.1798096,1,-61.019897,-9.658813,1,-55.511475,-11.642456,1
2,-53.03955,19.104004,1,-61.63025,11.444092,1,-53.2776794433594,2.82814145088196,1,-65.61279,-5.706787,1,-61.49292,-9.490967,1,-56.06079,-11.642456,1
3,-52.29187,18.89038,1,-61.157227,11.459351,1,-53.0884628295898,2.57706093788147,1,-65.85693,-5.2948,1,-62.01172,-9.3688965,1,-56.70166,-11.59668,1
4,-51.452637,18.737793,1,-60.455322,11.398315,1,-52.8189888000488,2.14161992073059,1,-66.04004,-4.9438477,1,-62.469482,-9.155273,1,-57.296753,-11.627197,1
5,-50.53711,18.508911,1,-59.829712,11.33728,1,-52.4728660583496,1.85694241523743,1,-66.101074,-4.40979,1,-62.88147,-9.002686,1,-57.95288,-11.581421,1
6,-49.49951,18.295288,1,-59.066772,11.245728,1,-52.1800651550293,1.41855621337891,1,-66.16211,-4.0130615,1,-63.2782,-8.758545,1,-58.547974,-11.611938,1
7,-48.583984,18.112183,1,-58.21228,11.169434,1,-51.7191848754883,1.07786560058594,1,-66.02478,-3.4332275,1,-63.64441,-8.4991455,1,-59.143066,-11.566162,1
8,-47.60742,17.89856,1,-57.388306,11.0321045,1,-51.2946929931641,0.694412231445313,1,-65.88745,-2.7770996,1,-63.812256,-8.163452,1,-59.661865,-11.489868,1
9,-46.63086,17.745972,1,-56.45752,10.940552,1,-50.7591247558594,0.379854679107666,1,-65.55176,-2.105713,1,-64.071655,-7.6141357,1,-60.165405,-11.3220215,1
10,-45.74585,17.654419,1,-55.618286,10.925293,1,-50.1539916992188,0.241589546203613,1,-65.06348,-1.4038086,1,-64.13269,-7.1105957,1,-60.59265,-11.21521,1
11,-44.906616,17.669678,1,-54.763794,11.0321045,1,-49.3626136779785,0.316357135772705,1,-64.331055,-0.6561279,1,-63.99536,-6.5307617,1,-60.98938,-10.910034,1
12,-44.006348,17.76123,1,-53.894043,11.184692,1,-48.5071411132813,0.461761474609375,1,-63.50708,0.50354004,1,-63.583374,-5.5389404,1,-61.09619,-10.498047,1
13,-43.151855,17.8833,1,-53.05481,11.489868,1,-47.605541229248,0.798495292663574,1,-62.561035,1.953125,1,-62.042236,-3.8452148,1,-60.440063,-9.94873,1
