scorer,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking
bodyparts,Crest,Crest,Crest,Hip,Hip,Hip,Knee,Knee,Knee,Ankle,Ankle,Ankle,Metatarsal,Metatarsal,Metatarsal,ToeTip,ToeTip,ToeTip
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,-68.64929,17.120361,1,-77.85034,9.94873,1,-66.6483993530273,5.64566326141357,1,-76.919556,-6.6223145,1,-71.92993,-10.543823,1,-66.223145,-11.154175,1
1,-68.80188,17.166138,1,-77.97241,10.070801,1,-66.8274230957031,5.62228775024414,1,-77.39258,-6.3934326,1,-72.5708,-10.498047,1,-66.81824,-11.230469,1
2,-68.96973,17.227173,1,-78.125,10.192871,1,-67.0378112792969,5.60218858718872,1,-77.89612,-6.149292,1,-73.0896,-10.482788,1,-67.38281,-11.21521,1
3,-69.21387,17.318726,1,-78.29285,10.299683,1,-67.2647476196289,5.56882333755493,1,-78.3844,-5.935669,1,-73.71521,-10.4522705,1,-67.977905,-11.199951,1
4,-69.44275,17.349243,1,-78.430176,10.253906,1,-67.461784362793,5.3862099647522,1,-78.9032,-5.79834,1,-74.23401,-10.406494,1,-68.54248,-11.245728,1
5,-69.68689,17.425537,1,-78.53699,10.223389,1,-67.5882720947266,5.31161499023438,1,-79.36096,-5.5236816,1,-74.81384,-10.299683,1,-69.07654,-11.184692,1
6,-69.885254,17.532349,1,-78.65906,10.055542,1,-67.7081604003906,5.14862775802612,1,-79.80347,-5.3253174,1,-75.33264,-10.192871,1,-69.68689,-11.169434,1
7,-70.28198,17.547607,1,-78.76587,9.94873,1,-67.8338012695312,5.00000190734863,1,-80.24597,-5.0964355,1,-75.912476,-10.070801,1,-70.28198,-11.154175,1
8,-70.48035,17.578125,1,-78.826904,9.765625,1,-67.9221649169922,4.75696849822998,1,-80.703735,-4.8675537,1,-76.431274,-9.963989,1,-70.81604,-11.108398,1
9,-70.77026,17.593384,1,-78.933716,9.658813,1,-68.0393676757813,4.62758922576904,1,-81.03943,-4.699707,1,-77.01111,-9.841919,1,-71.45691,-11.09314,1
10,-71.0907,17.608643,1,-78.96423,9.44519,1,-68.0840377807617,4.38344287872314,1,-81.4209,-4.4555664,1,-77.46887,-9.735107,1,-72.006226,-11.077881,1
11,-71.395874,17.547607,1,-79.055786,9.277344,1,-68.196418762207,4.17106246948242,1,-81.78711,-4.272461,1,-77.98767,-9.613037,1,-72.58606,-11.047363,1
12,-71.624756,17.532349,1,-79.10156,9.0789795,1,-68.2761535644531,3.90110087394714,1,-82.13806,-4.0893555,1,-78.552246,-9.475708,1,-73.22693,-11.0321045,1
13,-71.8689,17.51709,1,-79.22363,8.926392,1,-68.391357421875,3.76288533210754,1,-82.458496,-3.8604736,1,-79.02527,-9.277344,1,-73.791504,-11.047363,1
