scorer,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking
bodyparts,Crest,Crest,Crest,Hip,Hip,Hip,Knee,Knee,Knee,Ankle,Ankle,Ankle,Metatarsal,Metatarsal,Metatarsal,ToeTip,ToeTip,ToeTip
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,-50.857544,19.424438,1,-60.775757,18.28003,1,-54.7394676208496,7.90876054763794,1,-63.842773,-4.0130615,1,-61.141968,-9.994507,1,-56.747437,-12.054443,1
1,-51.01013,19.363403,1,-60.958862,18.234253,1,-55.030216217041,7.80107736587524,1,-64.331055,-3.9672852,1,-61.7218,-9.94873,1,-57.373047,-12.069702,1
2,-51.193237,19.210815,1,-61.09619,18.127441,1,-55.2449645996094,7.65065002441406,1,-64.78882,-3.9215088,1,-62.316895,-9.933472,1,-58.029175,-12.1154785,1
3,-51.315308,19.088745,1,-61.23352,17.959595,1,-55.4511604309082,7.44463872909546,1,-65.29236,-3.8757324,1,-62.927246,-9.94873,1,-58.639526,-12.130737,1
4,-51.467896,18.936157,1,-61.38611,17.715454,1,-55.6391258239746,7.18111991882324,1,-65.841675,-3.8146973,1,-63.50708,-9.902954,1,-59.35669,-12.161255,1
5,-51.68152,18.722534,1,-61.553955,17.501831,1,-55.8477325439453,6.94536113739014,1,-66.329956,-3.7841797,1,-64.086914,-9.811401,1,-59.96704,-12.176514,1
6,-51.9104,18.600464,1,-61.76758,17.364502,1,-56.0707244873047,6.80297374725342,1,-66.7572,-3.7231445,1,-64.65149,-9.82666,1,-60.59265,-12.176514,1
7,-52.15454,18.463135,1,-61.99646,17.27295,1,-56.3438606262207,6.68766927719116,1,-67.230225,-3.6315918,1,-65.2771,-9.765625,1,-61.187744,-12.191772,1
8,-52.383423,18.356323,1,-62.194824,17.150879,1,-56.5944976806641,6.53784942626953,1,-67.718506,-3.5247803,1,-65.81116,-9.70459,1,-61.798096,-12.176514,1
9,-52.597046,18.295288,1,-62.316895,17.044067,1,-56.8383522033691,6.36766529083252,1,-68.20679,-3.4179688,1,-66.43677,-9.613037,1,-62.469482,-12.176514,1
10,-52.856445,18.295288,1,-62.652588,17.089844,1,-57.294361114502,6.35255241394043,1,-68.740845,-3.3416748,1,-67.03186,-9.552002,1,-63.12561,-12.161255,1
11,-53.207397,18.38684,1,-62.88147,17.089844,1,-57.5607872009277,6.33389759063721,1,-69.13757,-3.2043457,1,-67.5354,-9.506226,1,-63.75122,-12.161255,1
12,-53.54309,18.4021,1,-63.186646,17.120361,1,-57.8624038696289,6.36617946624756,1,-69.54956,-3.036499,1,-68.115234,-9.292603,1,-64.315796,-12.1154785,1
13,-53.878784,18.554688,1,-63.446045,17.13562,1,-58.2121849060059,6.3371639251709,1,-70.007324,-2.9296875,1,-68.67981,-9.20105,1,-65.0177,-12.10022,1
