,IliacCrest_x,IliacCrest_y,IliacCrest_likelihood,Hip_x,Hip_y,Hip_likelihood,Knee_x,Knee_y,Knee_likelihood,Ankle_x,Ankle_y,Ankle_likelihood,Metatarsal_x,Metatarsal_y,Metatarsal_likelihood,ToeTip_x,ToeTip_y,ToeTip_likelihood
30,116.28723,15.396118,1,108.4137,11.550903,1,114.5984115600586,1.2674560546875,1,97.8241,4.0283203,1,95.01648,-3.0059814,1,92.98706,-9.109497,1
31,116.68396,15.365601,1,108.96301,11.749268,1,115.67900085449219,1.8046464920043945,1,98.93799,4.760742,1,97.213745,-2.3498535,1,96.31348,-8.81958,1
32,117.111206,15.335083,1,109.451294,11.901855,1,116.84535217285156,2.450510025024414,1,100.0824,5.279541,1,99.243164,-1.7700195,1,99.12109,-8.346558,1
33,117.52319,15.365601,1,109.87854,12.008667,1,117.7679214477539,2.9666690826416016,1,100.95215,5.4626465,1,101.135254,-1.4648438,1,101.28784,-7.8430176,1
34,117.95044,15.380859,1,110.38208,11.947632,1,118.58621215820312,3.190218925476074,1,101.71509,5.279541,1,102.79846,-1.373291,1,103.34778,-7.659912,1
35,118.270874,15.50293,1,110.824585,11.84082,1,119.37977600097656,3.426027297973633,1,102.43225,4.760742,1,104.50745,-1.5716553,1,105.667114,-7.7667236,1
36,118.57605,15.640259,1,111.35864,11.703491,1,120.3309326171875,3.734926223754883,1,103.33252,3.9672852,1,106.30798,-2.029419,1,108.27637,-7.949829,1
37,118.896484,15.823364,1,111.78589,11.474609,1,121.27218627929688,4.125445365905762,1,104.30908,3.0059814,1,108.13904,-2.5939941,1,110.99243,-8.19397,1
38,119.384766,15.930176,1,112.27417,11.3220215,1,122.2011489868164,4.579975605010986,1,105.407715,1.9378662,1,110.13794,-3.250122,1,113.61694,-8.224487,1
39,119.659424,16.098022,1,112.77771,11.245728,1,123.15758514404297,5.224247455596924,1,106.70471,0.9460449,1,111.90796,-3.8452148,1,116.07361,-8.300781,1
40,120.08667,16.326904,1,113.31177,11.276245,1,123.9243392944336,5.675055980682373,1,107.97119,-0.19836426,1,113.723755,-4.3029785,1,118.36243,-8.178711,1
41,120.42236,16.601562,1,113.83057,11.276245,1,124.78889465332031,6.385942459106445,1,109.451294,-0.9460449,1,115.493774,-4.5776367,1,120.59021,-7.873535,1
42,120.80383,16.89148,1,114.31885,11.245728,1,125.39347076416016,6.624828815460205,1,110.672,-1.876831,1,117.263794,-4.699707,1,122.787476,-7.4310303,1
43,121.1853,17.211914,1,114.91394,11.33728,1,126.27357482910156,7.469628810882568,1,112.472534,-2.456665,1,119.09485,-4.8828125,1,124.89319,-7.095337,1
44,121.520996,17.593384,1,115.41748,11.535645,1,126.98567199707031,8.345520973205566,1,114.30359,-2.9754639,1,120.910645,-5.218506,1,127.10571,-6.866455,1
45,121.88721,17.944336,1,115.93628,11.703491,1,127.61678314208984,8.952890396118164,1,116.27197,-3.7078857,1,123.03162,-5.6762695,1,129.54712,-6.790161,1
46,122.299194,18.249512,1,116.56189,11.84082,1,128.3101348876953,9.395651817321777,1,118.45398,-4.4555664,1,125.33569,-6.164551,1,131.97327,-6.652832,1
47,122.72644,18.569946,1,117.21802,11.932373,1,129.0395050048828,9.870290756225586,1,120.72754,-4.9591064,1,127.65503,-6.6986084,1,134.39941,-6.744385,1
48,123.19946,18.829346,1,117.84363,12.023926,1,129.69561767578125,10.145034790039062,1,122.81799,-5.4016113,1,129.9591,-7.232666,1,136.73401,-7.003784,1
49,123.58093,18.951416,1,118.45398,12.023926,1,130.32135009765625,10.24472427368164,1,124.52698,-5.7373047,1,131.82068,-7.797241,1,138.48877,-7.3547363,1
50,124.0387,18.997192,1,119.07959,12.054443,1,130.91558837890625,10.077261924743652,1,125.701904,-6.1035156,1,132.96509,-8.514404,1,139.69421,-8.255005,1
51,124.46594,18.875122,1,119.522095,11.962891,1,131.30038452148438,9.66683292388916,1,126.23596,-6.5612793,1,133.3313,-9.475708,1,140.07568,-9.658813,1
52,124.98474,18.661499,1,119.97986,11.688232,1,131.675048828125,9.00073528289795,1,126.205444,-7.095337,1,133.05664,-10.543823,1,139.64844,-11.276245,1
53,125.41199,18.188477,1,120.285034,11.33728,1,131.8761749267578,8.23159408569336,1,125.64087,-7.583618,1,132.12585,-11.291504,1,138.76343,-12.084961,1
54,125.88501,17.669678,1,120.57495,10.879517,1,132.0917510986328,7.508563995361328,1,124.98474,-7.9345703,1,131.3324,-11.627197,1,137.9242,-12.22229,1
55,126.28174,17.25769,1,120.651245,10.4522705,1,132.19894409179688,7.188733100891113,1,124.40491,-7.9193115,1,130.66101,-11.703491,1,137.20703,-12.252808,1
56,126.5564,16.967773,1,120.788574,10.177612,1,132.340087890625,6.927642822265625,1,123.87085,-7.8125,1,129.98962,-11.657715,1,136.52039,-12.313843,1
57,126.72424,16.799927,1,120.84961,10.009766,1,132.3553924560547,6.601410865783691,1,123.24524,-7.751465,1,129.31824,-11.59668,1,135.87952,-12.298584,1
58,126.98364,16.63208,1,120.9259,9.963989,1,132.50894165039062,6.828226089477539,1,122.909546,-7.2021484,1,128.64685,-11.535645,1,135.16235,-12.298584,1
59,127.13623,16.479492,1,120.95642,9.82666,1,132.40916442871094,6.244118690490723,1,122.20764,-7.3547363,1,128.06702,-11.520386,1,134.49097,-12.268066,1
60,127.197266,16.326904,1,120.9259,9.82666,1,132.2635498046875,5.89502477645874,1,121.61255,-7.3547363,1,127.38037,-11.474609,1,133.81958,-12.298584,1
61,127.30408,16.220093,1,120.83435,9.811401,1,132.09449768066406,5.663031578063965,1,121.017456,-7.232666,1,126.72424,-11.459351,1,133.10242,-12.298584,1
62,127.24304,16.067505,1,120.7428,9.811401,1,131.8677978515625,5.313111305236816,1,120.34607,-7.1868896,1,126.083374,-11.444092,1,132.40051,-12.298584,1
63,127.15149,15.960693,1,120.513916,9.796143,1,131.7082977294922,5.473435878753662,1,119.903564,-6.7596436,1,125.38147,-11.398315,1,131.65283,-12.34436,1
64,126.98364,15.808105,1,120.23926,9.674072,1,131.4430694580078,5.37587833404541,1,119.35425,-6.576538,1,124.72534,-11.367798,1,131.01196,-12.298584,1
65,126.78528,15.594482,1,120.010376,9.58252,1,131.01083374023438,4.7877397537231445,1,118.59131,-6.8206787,1,123.99292,-11.306763,1,130.34058,-12.298584,1
66,126.51062,15.441895,1,119.7052,9.460449,1,130.602294921875,4.435183525085449,1,117.889404,-6.8511963,1,123.32153,-11.260986,1,129.62341,-12.283325,1
67,126.205444,15.24353,1,119.32373,9.307861,1,130.38052368164062,4.644463539123535,1,117.47742,-6.42395,1,122.75696,-11.291504,1,128.93677,-12.298584,1
68,125.90027,15.045166,1,118.95752,9.185791,1,130.01156616210938,4.515866279602051,1,116.89758,-6.30188,1,122.00928,-11.184692,1,128.26538,-12.283325,1
69,125.59509,14.862061,1,118.54553,9.0789795,1,129.58349609375,4.371175765991211,1,116.30249,-6.2408447,1,121.2616,-11.184692,1,127.56348,-12.22229,1
70,125.21362,14.678955,1,118.17932,8.850098,1,129.04718017578125,3.761892318725586,1,115.448,-6.439209,1,120.59021,-11.169434,1,126.815796,-12.268066,1
71,124.72534,14.541626,1,117.72156,8.7890625,1,128.5443572998047,3.605724334716797,1,114.80713,-6.4086914,1,119.94934,-11.138916,1,126.11389,-12.237549,1
72,124.32861,14.3585205,1,117.17224,8.621216,1,128.04234313964844,3.5378198623657227,1,114.212036,-6.3476562,1,119.21692,-11.077881,1,125.38147,-12.22229,1
73,123.794556,14.266968,1,116.744995,8.514404,1,127.536376953125,3.265974998474121,1,113.49487,-6.3171387,1,118.53027,-11.062622,1,124.694824,-12.252808,1
74,123.38257,14.205933,1,116.28723,8.483887,1,127.08982849121094,3.258565902709961,1,112.9303,-6.149292,1,117.91992,-11.062622,1,124.00818,-12.268066,1
75,122.77222,14.099121,1,115.78369,8.377075,1,126.63648223876953,3.256819486618042,1,112.36572,-5.9814453,1,117.14172,-10.940552,1,123.24524,-12.237549,1
76,122.31445,14.022827,1,115.24963,8.31604,1,126.09675598144531,3.1838021278381348,1,111.74011,-5.92041,1,116.53137,-10.910034,1,122.57385,-12.237549,1
77,121.780396,13.977051,1,114.76135,8.255005,1,125.58367156982422,3.070657968521118,1,111.09924,-5.8288574,1,115.78369,-10.940552,1,121.87195,-12.237549,1
