,IliacCrest_x,IliacCrest_y,IliacCrest_likelihood,Hip_x,Hip_y,Hip_likelihood,Knee_x,Knee_y,Knee_likelihood,Ankle_x,Ankle_y,Ankle_likelihood,Metatarsal_x,Metatarsal_y,Metatarsal_likelihood,ToeTip_x,ToeTip_y,ToeTip_likelihood
0,-30.975342,22.201538,1,-38.497925,18.707275,1,-35.951080322265625,6.980658531188965,1,-50.491333,10.665894,1,-48.309326,4.3029785,1,-44.11316,2.89917,1
1,-30.807495,22.323608,1,-38.223267,18.90564,1,-36.02686309814453,7.108360290527344,1,-50.53711,10.910034,1,-48.736572,4.3945312,1,-44.692993,2.9449463,1
2,-30.593872,22.598267,1,-38.16223,19.16504,1,-36.04596710205078,7.353120803833008,1,-50.55237,11.169434,1,-49.118042,4.547119,1,-45.181274,3.0059814,1
3,-30.471802,22.750854,1,-37.94861,19.378662,1,-36.15575408935547,7.513349533081055,1,-50.64392,11.398315,1,-49.560547,4.6081543,1,-45.791626,3.0212402,1
4,-30.36499,23.07129,1,-37.91809,19.622803,1,-36.253662109375,7.738794326782227,1,-50.720215,11.703491,1,-49.972534,4.8217773,1,-46.295166,3.0517578,1
5,-30.288696,23.30017,1,-37.734985,19.866943,1,-36.373748779296875,7.944400787353516,1,-50.842285,11.901855,1,-50.41504,5.0354004,1,-46.85974,3.1280518,1
6,-30.24292,23.620605,1,-37.628174,20.15686,1,-36.43025207519531,8.216802597045898,1,-50.872803,12.268066,1,-50.735474,5.5236816,1,-47.24121,3.2043457,1
7,-30.181885,23.925781,1,-37.612915,20.492554,1,-36.440277099609375,8.549985885620117,1,-50.90332,12.527466,1,-51.101685,5.783081,1,-47.76001,3.2196045,1
8,-30.136108,24.20044,1,-37.521362,20.79773,1,-36.44703674316406,8.845916748046875,1,-50.90332,12.8479,1,-51.40686,6.1187744,1,-48.217773,3.3569336,1
9,-29.968262,24.44458,1,-37.368774,21.057129,1,-36.28582000732422,9.106094360351562,1,-50.750732,13.076782,1,-51.68152,6.4697266,1,-48.690796,3.4179688,1
10,-29.830933,24.58191,1,-37.17041,21.240234,1,-36.10697937011719,9.287446022033691,1,-50.50659,13.48877,1,-51.818848,6.8359375,1,-49.102783,3.4942627,1
11,-29.632568,24.765015,1,-36.94153,21.438599,1,-35.701690673828125,9.502820014953613,1,-50.079346,13.778687,1,-51.9104,7.0648193,1,-49.453735,3.4484863,1
12,-29.327393,24.94812,1,-36.56006,21.575928,1,-35.122806549072266,9.662308692932129,1,-49.484253,13.99231,1,-51.849365,7.369995,1,-49.926758,3.3874512,1
