,IliacCrest_x,IliacCrest_y,IliacCrest_likelihood,Hip_x,Hip_y,Hip_likelihood,Knee_x,Knee_y,Knee_likelihood,Ankle_x,Ankle_y,Ankle_likelihood,Metatarsal_x,Metatarsal_y,Metatarsal_likelihood,ToeTip_x,ToeTip_y,ToeTip_likelihood
494,-0.91552734,14.373779,1,-9.292603,9.82666,1,-4.659616947174072,-0.1500864028930664,1,-17.120361,3.5552979,1,-14.694214,-2.0599365,1,-12.863159,-8.270264,1
495,-0.79345703,14.61792,1,-9.094238,9.765625,1,-4.2104620933532715,-0.09078025817871094,1,-16.87622,2.8381348,1,-13.717651,-2.4871826,1,-11.184692,-8.31604,1
496,-0.62561035,14.846802,1,-8.880615,9.765625,1,-3.658698558807373,0.08411741256713867,1,-16.51001,2.0446777,1,-12.741089,-2.8686523,1,-9.490967,-8.285522,1
497,-0.50354004,15.029907,1,-8.666992,9.750366,1,-3.0551185607910156,0.28955841064453125,1,-16.021729,1.2207031,1,-11.764526,-3.3569336,1,-7.9956055,-8.331299,1
498,-0.36621094,15.182495,1,-8.453369,9.674072,1,-2.473483085632324,0.4414687156677246,1,-15.472412,0.2746582,1,-10.848999,-3.8146973,1,-6.5612793,-8.422852,1
499,-0.2593994,15.350342,1,-8.2092285,9.552002,1,-1.8093900680541992,0.6053781509399414,1,-14.755249,-0.579834,1,-9.750366,-4.3182373,1,-5.065918,-8.422852,1
500,-0.12207031,15.518188,1,-7.965088,9.521484,1,-1.1537294387817383,0.8840417861938477,1,-13.931274,-1.5106201,1,-8.728027,-4.7454834,1,-3.3569336,-8.270264,1
501,0.0,15.716553,1,-7.659912,9.414673,1,-0.44587039947509766,1.1106019020080566,1,-12.9852295,-2.319336,1,-7.4005127,-5.1727295,1,-1.6937256,-8.163452,1
502,0.030517578,15.945435,1,-7.3394775,9.3688965,1,0.27752685546875,1.4328243732452393,1,-11.901855,-3.112793,1,-6.1187744,-5.493164,1,-0.091552734,-7.9345703,1
503,0.076293945,16.204834,1,-7.080078,9.262085,1,0.9983491897583008,1.7962279319763184,1,-10.757446,-3.753662,1,-4.714966,-5.7678223,1,1.4648438,-7.751465,1
504,0.24414062,16.51001,1,-6.6833496,9.20105,1,1.7346735000610352,2.120309591293335,1,-9.506226,-4.40979,1,-3.463745,-6.0272217,1,3.0822754,-7.507324,1
505,0.32043457,16.76941,1,-6.3323975,9.124756,1,2.502305030822754,2.5712809562683105,1,-7.9956055,-5.0964355,1,-1.7852783,-6.30188,1,4.852295,-7.293701,1
506,0.36621094,17.044067,1,-5.9814453,9.048462,1,3.1791024208068848,2.9587674140930176,1,-6.30188,-5.935669,1,0.030517578,-6.5612793,1,6.8359375,-6.8511963,1
507,0.4272461,17.333984,1,-5.508423,9.033203,1,3.916517734527588,3.3613007068634033,1,-4.40979,-6.6223145,1,1.9073486,-6.80542,1,8.94165,-6.576538,1
508,0.5340576,17.593384,1,-5.142212,8.956909,1,4.486587047576904,3.638430118560791,1,-2.5482178,-7.293701,1,3.8452148,-7.2784424,1,11.09314,-6.515503,1
509,0.6561279,17.822266,1,-4.7302246,8.911133,1,5.093209743499756,3.9613723754882812,1,-0.64086914,-7.7056885,1,5.7525635,-7.659912,1,13.1073,-6.713867,1
510,0.76293945,18.051147,1,-4.333496,8.850098,1,5.627129554748535,4.182555198669434,1,1.0375977,-7.9803467,1,7.522583,-8.071899,1,14.923096,-7.095337,1
511,0.88500977,18.081665,1,-3.9367676,8.834839,1,6.10215950012207,4.3381781578063965,1,2.380371,-8.117676,1,9.002686,-8.453369,1,16.464233,-7.7209473,1
512,1.1138916,18.173218,1,-3.6010742,8.81958,1,6.460176467895508,4.373091697692871,1,3.3111572,-8.239746,1,9.933472,-9.002686,1,17.318726,-8.529663,1
513,1.3122559,18.096924,1,-3.3874512,8.743286,1,6.660016059875488,4.26574182510376,1,3.5705566,-8.361816,1,10.116577,-9.689331,1,17.51709,-9.735107,1
514,1.6021729,17.913818,1,-3.2196045,8.682251,1,6.7098917961120605,3.948848247528076,1,3.2806396,-8.590698,1,9.735107,-10.421753,1,16.952515,-11.077881,1
515,1.8157959,17.593384,1,-3.1585693,8.422852,1,6.718070983886719,3.5801260471343994,1,2.6245117,-8.758545,1,8.895874,-10.955811,1,16.036987,-11.276245,1
516,2.029419,17.211914,1,-3.0670166,8.178711,1,6.70465612411499,3.1275315284729004,1,2.029419,-9.002686,1,8.132935,-11.306763,1,15.365601,-11.428833,1
517,2.2735596,16.799927,1,-3.0517578,7.8125,1,6.721779823303223,2.764930009841919,1,1.4648438,-9.124756,1,7.4005127,-11.505127,1,14.724731,-11.505127,1
518,2.456665,16.464233,1,-2.9907227,7.583618,1,6.732640266418457,2.4400553703308105,1,0.9460449,-9.20105,1,6.8969727,-11.611938,1,14.099121,-11.611938,1
519,2.5939941,16.174316,1,-3.0059814,7.3547363,1,6.683325290679932,2.1473042964935303,1,0.39672852,-9.231567,1,6.2561035,-11.672974,1,13.504028,-11.627197,1
520,2.7160645,15.945435,1,-3.0059814,7.1258545,1,6.653415679931641,1.8631519079208374,1,-0.12207031,-9.231567,1,5.6762695,-11.749268,1,12.893677,-11.642456,1
521,2.8381348,15.670776,1,-3.0822754,6.9732666,1,6.526734828948975,1.619118094444275,1,-0.6561279,-9.216309,1,5.0201416,-11.779785,1,12.298584,-11.71875,1
522,2.89917,15.487671,1,-3.1585693,6.790161,1,6.40437650680542,1.354163408279419,1,-1.2054443,-9.185791,1,4.5166016,-11.825562,1,11.71875,-11.779785,1
523,2.9754639,15.2282715,1,-3.2043457,6.668091,1,6.285672187805176,1.1057578325271606,1,-1.7547607,-9.109497,1,3.8604736,-11.901855,1,11.016846,-11.810303,1
524,2.9296875,14.968872,1,-3.3416748,6.500244,1,6.060410499572754,0.7905329465866089,1,-2.3651123,-9.109497,1,3.3416748,-11.917114,1,10.4522705,-11.749268,1
525,2.9144287,14.770508,1,-3.479004,6.362915,1,5.845647811889648,0.527603268623352,1,-2.9296875,-9.063721,1,2.670288,-11.962891,1,9.780884,-11.779785,1
526,2.9144287,14.526367,1,-3.5858154,6.2408447,1,5.638606071472168,0.24834680557250977,1,-3.463745,-9.033203,1,2.0751953,-11.978149,1,9.155273,-11.84082,1
527,2.89917,14.251709,1,-3.7078857,6.1187744,1,5.429507255554199,-0.005606457591056824,1,-3.9978027,-8.956909,1,1.4190674,-12.008667,1,8.621216,-11.886597,1
528,2.8839111,14.0686035,1,-3.829956,5.9814453,1,5.1897969245910645,-0.314907431602478,1,-4.562378,-8.911133,1,0.8544922,-11.993408,1,7.9803467,-11.932373,1
529,2.8686523,13.824463,1,-3.9672852,5.874634,1,4.938281059265137,-0.5822133421897888,1,-5.0811768,-8.865356,1,0.289917,-11.962891,1,7.4157715,-11.901855,1
530,2.960205,13.641357,1,-4.1046143,5.7678223,1,4.734243869781494,-0.780046284198761,1,-5.5999756,-8.666992,1,-0.19836426,-11.993408,1,6.8359375,-11.947632,1
531,2.822876,13.412476,1,-4.3029785,5.722046,1,4.387213706970215,-1.021880865097046,1,-6.149292,-8.636475,1,-0.88500977,-11.917114,1,6.164551,-11.962891,1
532,2.7770996,13.168335,1,-4.562378,5.5236816,1,4.087110996246338,-1.2723721265792847,1,-6.6986084,-8.529663,1,-1.4190674,-11.962891,1,5.569458,-11.993408,1
533,2.5634766,12.8479,1,-4.79126,5.432129,1,3.740471363067627,-1.5111823081970215,1,-7.2021484,-8.529663,1,-1.9836426,-11.962891,1,4.9438477,-11.993408,1
534,2.380371,12.634277,1,-5.065918,5.2337646,1,3.388482093811035,-1.8035019636154175,1,-7.7819824,-8.453369,1,-2.5939941,-11.917114,1,4.348755,-12.023926,1
535,2.0446777,12.374878,1,-5.4016113,5.0964355,1,3.012669563293457,-1.9887526035308838,1,-8.300781,-8.392334,1,-3.2348633,-11.856079,1,3.7841797,-12.054443,1
536,1.7700195,12.191772,1,-5.783081,4.9591064,1,2.5959081649780273,-2.1677818298339844,1,-8.850098,-8.331299,1,-3.7231445,-11.825562,1,3.1738281,-12.069702,1
537,1.4190674,11.978149,1,-6.225586,4.760742,1,2.143110752105713,-2.3782293796539307,1,-9.460449,-8.239746,1,-4.40979,-11.795044,1,2.5939941,-12.10022,1
