scorer,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking
bodyparts,Crest,Crest,Crest,Hip,Hip,Hip,Knee,Knee,Knee,Ankle,Ankle,Ankle,Metatarsal,Metatarsal,Metatarsal,ToeTip,ToeTip,ToeTip
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
15,109.52759,14.221191,1,102.3407,9.338379,1,107.314117431641,-1.58247947692871,1,90.31677,-1.2817383,1,87.82959,-8.804321,1,90.98816,-12.054443,1
16,109.92432,14.450073,1,102.53906,9.658813,1,107.100006103516,-1.44063568115234,1,90.10315,-1.1138916,1,87.387085,-8.605957,1,90.36255,-11.947632,1
17,110.38208,14.755249,1,102.81372,10.055542,1,106.886573791504,-1.23214244842529,1,89.88953,-0.91552734,1,86.91406,-8.346558,1,89.85901,-11.917114,1
18,110.77881,15.029907,1,103.10364,10.543823,1,106.58325958252,-0.94061279296875,1,89.58435,-0.74768066,1,86.41052,-8.19397,1,89.263916,-11.84082,1
19,111.16028,15.289307,1,103.40881,10.894775,1,106.32381439209,-0.745789527893066,1,89.32495,-0.5493164,1,85.96802,-8.010864,1,88.7146,-11.779785,1
20,111.52649,15.50293,1,103.68347,11.184692,1,106.216857910156,-0.54484224319458,1,89.21814,-0.33569336,1,85.632324,-7.6904297,1,88.11951,-11.657715,1
21,111.968994,15.640259,1,103.94287,11.367798,1,106.322784423828,-0.39383602142334,1,89.32495,-0.12207031,1,85.40344,-7.293701,1,87.60071,-11.520386,1
22,112.36572,15.731812,1,104.37012,11.459351,1,106.65404510498,-0.32129955291748,1,89.660645,0.15258789,1,85.250854,-6.9122314,1,87.1582,-11.398315,1
23,112.88452,15.777588,1,104.79736,11.611938,1,107.282180786133,-0.127979278564453,1,90.286255,0.24414062,1,85.357666,-6.515503,1,86.7157,-11.199951,1
24,113.31177,15.777588,1,105.25513,11.657715,1,108.073783874512,-0.00655460357666016,1,91.07971,0.44250488,1,85.66284,-6.072998,1,86.42578,-10.955811,1
25,113.83057,15.74707,1,105.72815,11.611938,1,108.879135131836,0.0330219268798828,1,91.88843,0.5950928,1,86.07483,-5.630493,1,86.15112,-10.7421875,1
26,114.25781,15.686035,1,106.277466,11.520386,1,109.998573303223,0.111907958984375,1,93.01758,0.91552734,1,87.03613,-4.8828125,1,85.89172,-10.482788,1
27,114.76135,15.609741,1,106.87256,11.398315,1,111.146553039551,0.185244560241699,1,94.192505,1.4343262,1,88.4552,-4.486084,1,86.013794,-10.08606,1
28,115.24963,15.579224,1,107.3761,11.383057,1,112.260841369629,0.422252655029297,1,95.35217,2.1820068,1,90.423584,-4.1046143,1,87.21924,-9.506226,1
29,115.753174,15.487671,1,107.940674,11.428833,1,113.397979736328,0.741558074951172,1,96.572876,3.1738281,1,92.666626,-3.6010742,1,89.767456,-9.231567,1
30,116.28723,15.396118,1,108.4137,11.550903,1,114.598411560059,1.2674560546875,1,97.8241,4.0283203,1,95.01648,-3.0059814,1,92.98706,-9.109497,1
31,116.68396,15.365601,1,108.96301,11.749268,1,115.679000854492,1.80464649200439,1,98.93799,4.760742,1,97.213745,-2.3498535,1,96.31348,-8.81958,1
32,117.111206,15.335083,1,109.451294,11.901855,1,116.845352172852,2.45051002502441,1,100.0824,5.279541,1,99.243164,-1.7700195,1,99.12109,-8.346558,1
33,117.52319,15.365601,1,109.87854,12.008667,1,117.767921447754,2.9666690826416,1,100.95215,5.4626465,1,101.135254,-1.4648438,1,101.28784,-7.8430176,1
34,117.95044,15.380859,1,110.38208,11.947632,1,118.586212158203,3.19021892547607,1,101.71509,5.279541,1,102.79846,-1.373291,1,103.34778,-7.659912,1
35,118.270874,15.50293,1,110.824585,11.84082,1,119.379776000977,3.42602729797363,1,102.43225,4.760742,1,104.50745,-1.5716553,1,105.667114,-7.7667236,1
36,118.57605,15.640259,1,111.35864,11.703491,1,120.330932617188,3.73492622375488,1,103.33252,3.9672852,1,106.30798,-2.029419,1,108.27637,-7.949829,1
37,118.896484,15.823364,1,111.78589,11.474609,1,121.272186279297,4.12544536590576,1,104.30908,3.0059814,1,108.13904,-2.5939941,1,110.99243,-8.19397,1
38,119.384766,15.930176,1,112.27417,11.3220215,1,122.201148986816,4.57997560501099,1,105.407715,1.9378662,1,110.13794,-3.250122,1,113.61694,-8.224487,1
39,119.659424,16.098022,1,112.77771,11.245728,1,123.157585144043,5.22424745559692,1,106.70471,0.9460449,1,111.90796,-3.8452148,1,116.07361,-8.300781,1
40,120.08667,16.326904,1,113.31177,11.276245,1,123.924339294434,5.67505598068237,1,107.97119,-0.19836426,1,113.723755,-4.3029785,1,118.36243,-8.178711,1
41,120.42236,16.601562,1,113.83057,11.276245,1,124.78889465332,6.38594245910645,1,109.451294,-0.9460449,1,115.493774,-4.5776367,1,120.59021,-7.873535,1
42,120.80383,16.89148,1,114.31885,11.245728,1,125.39347076416,6.62482881546021,1,110.672,-1.876831,1,117.263794,-4.699707,1,122.787476,-7.4310303,1
43,121.1853,17.211914,1,114.91394,11.33728,1,126.273574829102,7.46962881088257,1,112.472534,-2.456665,1,119.09485,-4.8828125,1,124.89319,-7.095337,1
44,121.520996,17.593384,1,115.41748,11.535645,1,126.98567199707,8.34552097320557,1,114.30359,-2.9754639,1,120.910645,-5.218506,1,127.10571,-6.866455,1
45,121.88721,17.944336,1,115.93628,11.703491,1,127.61678314209,8.95289039611816,1,116.27197,-3.7078857,1,123.03162,-5.6762695,1,129.54712,-6.790161,1
46,122.299194,18.249512,1,116.56189,11.84082,1,128.310134887695,9.39565181732178,1,118.45398,-4.4555664,1,125.33569,-6.164551,1,131.97327,-6.652832,1
47,122.72644,18.569946,1,117.21802,11.932373,1,129.039505004883,9.87029075622559,1,120.72754,-4.9591064,1,127.65503,-6.6986084,1,134.39941,-6.744385,1
48,123.19946,18.829346,1,117.84363,12.023926,1,129.695617675781,10.1450347900391,1,122.81799,-5.4016113,1,129.9591,-7.232666,1,136.73401,-7.003784,1
49,123.58093,18.951416,1,118.45398,12.023926,1,130.321350097656,10.2447242736816,1,124.52698,-5.7373047,1,131.82068,-7.797241,1,138.48877,-7.3547363,1
50,124.0387,18.997192,1,119.07959,12.054443,1,130.915588378906,10.0772619247437,1,125.701904,-6.1035156,1,132.96509,-8.514404,1,139.69421,-8.255005,1
51,124.46594,18.875122,1,119.522095,11.962891,1,131.300384521484,9.66683292388916,1,126.23596,-6.5612793,1,133.3313,-9.475708,1,140.07568,-9.658813,1
52,124.98474,18.661499,1,119.97986,11.688232,1,131.675048828125,9.00073528289795,1,126.205444,-7.095337,1,133.05664,-10.543823,1,139.64844,-11.276245,1
53,125.41199,18.188477,1,120.285034,11.33728,1,131.876174926758,8.23159408569336,1,125.64087,-7.583618,1,132.12585,-11.291504,1,138.76343,-12.084961,1
54,125.88501,17.669678,1,120.57495,10.879517,1,132.091751098633,7.50856399536133,1,124.98474,-7.9345703,1,131.3324,-11.627197,1,137.9242,-12.22229,1
55,126.28174,17.25769,1,120.651245,10.4522705,1,132.198944091797,7.18873310089111,1,124.40491,-7.9193115,1,130.66101,-11.703491,1,137.20703,-12.252808,1
56,126.5564,16.967773,1,120.788574,10.177612,1,132.340087890625,6.92764282226563,1,123.87085,-7.8125,1,129.98962,-11.657715,1,136.52039,-12.313843,1
57,126.72424,16.799927,1,120.84961,10.009766,1,132.355392456055,6.60141086578369,1,123.24524,-7.751465,1,129.31824,-11.59668,1,135.87952,-12.298584,1
58,126.98364,16.63208,1,120.9259,9.963989,1,132.508941650391,6.82822608947754,1,122.909546,-7.2021484,1,128.64685,-11.535645,1,135.16235,-12.298584,1
59,127.13623,16.479492,1,120.95642,9.82666,1,132.409164428711,6.24411869049072,1,122.20764,-7.3547363,1,128.06702,-11.520386,1,134.49097,-12.268066,1
60,127.197266,16.326904,1,120.9259,9.82666,1,132.263549804688,5.89502477645874,1,121.61255,-7.3547363,1,127.38037,-11.474609,1,133.81958,-12.298584,1
61,127.30408,16.220093,1,120.83435,9.811401,1,132.094497680664,5.66303157806397,1,121.017456,-7.232666,1,126.72424,-11.459351,1,133.10242,-12.298584,1
62,127.24304,16.067505,1,120.7428,9.811401,1,131.867797851563,5.31311130523682,1,120.34607,-7.1868896,1,126.083374,-11.444092,1,132.40051,-12.298584,1
63,127.15149,15.960693,1,120.513916,9.796143,1,131.708297729492,5.47343587875366,1,119.903564,-6.7596436,1,125.38147,-11.398315,1,131.65283,-12.34436,1
64,126.98364,15.808105,1,120.23926,9.674072,1,131.443069458008,5.37587833404541,1,119.35425,-6.576538,1,124.72534,-11.367798,1,131.01196,-12.298584,1
65,126.78528,15.594482,1,120.010376,9.58252,1,131.010833740234,4.78773975372314,1,118.59131,-6.8206787,1,123.99292,-11.306763,1,130.34058,-12.298584,1
66,126.51062,15.441895,1,119.7052,9.460449,1,130.602294921875,4.43518352508545,1,117.889404,-6.8511963,1,123.32153,-11.260986,1,129.62341,-12.283325,1
67,126.205444,15.24353,1,119.32373,9.307861,1,130.380523681641,4.64446353912354,1,117.47742,-6.42395,1,122.75696,-11.291504,1,128.93677,-12.298584,1
68,125.90027,15.045166,1,118.95752,9.185791,1,130.011566162109,4.51586627960205,1,116.89758,-6.30188,1,122.00928,-11.184692,1,128.26538,-12.283325,1
69,125.59509,14.862061,1,118.54553,9.0789795,1,129.58349609375,4.37117576599121,1,116.30249,-6.2408447,1,121.2616,-11.184692,1,127.56348,-12.22229,1
70,125.21362,14.678955,1,118.17932,8.850098,1,129.047180175781,3.76189231872559,1,115.448,-6.439209,1,120.59021,-11.169434,1,126.815796,-12.268066,1
71,124.72534,14.541626,1,117.72156,8.7890625,1,128.544357299805,3.6057243347168,1,114.80713,-6.4086914,1,119.94934,-11.138916,1,126.11389,-12.237549,1
72,124.32861,14.3585205,1,117.17224,8.621216,1,128.042343139648,3.53781986236572,1,114.212036,-6.3476562,1,119.21692,-11.077881,1,125.38147,-12.22229,1
73,123.794556,14.266968,1,116.744995,8.514404,1,127.536376953125,3.26597499847412,1,113.49487,-6.3171387,1,118.53027,-11.062622,1,124.694824,-12.252808,1
74,123.38257,14.205933,1,116.28723,8.483887,1,127.089828491211,3.25856590270996,1,112.9303,-6.149292,1,117.91992,-11.062622,1,124.00818,-12.268066,1
75,122.77222,14.099121,1,115.78369,8.377075,1,126.63648223877,3.25681948661804,1,112.36572,-5.9814453,1,117.14172,-10.940552,1,123.24524,-12.237549,1
76,122.31445,14.022827,1,115.24963,8.31604,1,126.096755981445,3.18380212783813,1,111.74011,-5.92041,1,116.53137,-10.910034,1,122.57385,-12.237549,1
77,121.780396,13.977051,1,114.76135,8.255005,1,125.583671569824,3.07065796852112,1,111.09924,-5.8288574,1,115.78369,-10.940552,1,121.87195,-12.237549,1
78,121.292114,13.946533,1,114.31885,8.239746,1,125.117164611816,3.00559186935425,1,110.51941,-5.706787,1,115.06653,-10.864258,1,121.12427,-12.191772,1
79,120.88013,13.900757,1,113.81531,8.19397,1,124.635925292969,3.00607538223267,1,109.939575,-5.5389404,1,114.37988,-10.803223,1,120.407104,-12.191772,1
