scorer,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking
bodyparts,Crest,Crest,Crest,Hip,Hip,Hip,Knee,Knee,Knee,Ankle,Ankle,Ankle,Metatarsal,Metatarsal,Metatarsal,ToeTip,ToeTip,ToeTip
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,-30.975342,22.201538,1,-38.497925,18.707275,1,-35.9510803222656,6.98065853118897,1,-50.491333,10.665894,1,-48.309326,4.3029785,1,-44.11316,2.89917,1
1,-30.807495,22.323608,1,-38.223267,18.90564,1,-36.0268630981445,7.10836029052734,1,-50.53711,10.910034,1,-48.736572,4.3945312,1,-44.692993,2.9449463,1
2,-30.593872,22.598267,1,-38.16223,19.16504,1,-36.0459671020508,7.35312080383301,1,-50.55237,11.169434,1,-49.118042,4.547119,1,-45.181274,3.0059814,1
3,-30.471802,22.750854,1,-37.94861,19.378662,1,-36.1557540893555,7.51334953308106,1,-50.64392,11.398315,1,-49.560547,4.6081543,1,-45.791626,3.0212402,1
4,-30.36499,23.07129,1,-37.91809,19.622803,1,-36.253662109375,7.73879432678223,1,-50.720215,11.703491,1,-49.972534,4.8217773,1,-46.295166,3.0517578,1
5,-30.288696,23.30017,1,-37.734985,19.866943,1,-36.3737487792969,7.94440078735352,1,-50.842285,11.901855,1,-50.41504,5.0354004,1,-46.85974,3.1280518,1
6,-30.24292,23.620605,1,-37.628174,20.15686,1,-36.4302520751953,8.2168025970459,1,-50.872803,12.268066,1,-50.735474,5.5236816,1,-47.24121,3.2043457,1
7,-30.181885,23.925781,1,-37.612915,20.492554,1,-36.4402770996094,8.54998588562012,1,-50.90332,12.527466,1,-51.101685,5.783081,1,-47.76001,3.2196045,1
8,-30.136108,24.20044,1,-37.521362,20.79773,1,-36.4470367431641,8.84591674804688,1,-50.90332,12.8479,1,-51.40686,6.1187744,1,-48.217773,3.3569336,1
9,-29.968262,24.44458,1,-37.368774,21.057129,1,-36.2858200073242,9.10609436035156,1,-50.750732,13.076782,1,-51.68152,6.4697266,1,-48.690796,3.4179688,1
10,-29.830933,24.58191,1,-37.17041,21.240234,1,-36.1069793701172,9.28744602203369,1,-50.50659,13.48877,1,-51.818848,6.8359375,1,-49.102783,3.4942627,1
11,-29.632568,24.765015,1,-36.94153,21.438599,1,-35.7016906738281,9.50282001495361,1,-50.079346,13.778687,1,-51.9104,7.0648193,1,-49.453735,3.4484863,1
12,-29.327393,24.94812,1,-36.56006,21.575928,1,-35.1228065490723,9.66230869293213,1,-49.484253,13.99231,1,-51.849365,7.369995,1,-49.926758,3.3874512,1
13,-29.022217,25.054932,1,-36.30066,21.697998,1,-34.4241218566895,9.84563159942627,1,-48.76709,14.23645,1,-51.620483,7.6293945,1,-50.323486,3.3111572,1
14,-28.686523,25.222778,1,-35.842896,21.865845,1,-33.5019111633301,10.0964021682739,1,-47.851562,14.465332,1,-51.16272,7.965088,1,-50.53711,3.2958984,1
